Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Queens,SWD,2016,5 year August,3051,2029,66.5,1865,61.1,91.9,264,8.7,13.0,1601,52.5,78.9,164,5.4,8.1,445,14.6,348,11.4,154,5.0,70,2.3
Queens,SWD,2015,5 year August,3085,1913,62.0,1146,37.1,59.9,88,2.9,4.6,1058,34.3,55.3,767,24.9,40.1,412,13.4,473,15.3,239,7.7,46,1.5
Queens,SWD,2014,5 year August,3032,1826,60.2,1005,33.1,55.0,78,2.6,4.3,927,30.6,50.8,821,27.1,45.0,399,13.2,522,17.2,236,7.8,49,1.6
Queens,SWD,2013,5 year August,2838,1614,56.9,895,31.5,55.5,58,2.0,3.6,837,29.5,51.9,719,25.3,44.5,450,15.9,464,16.3,278,9.8,32,1.1
Queens,SWD,2012,5 year August,2878,1534,53.3,851,29.6,55.5,56,1.9,3.7,795,27.6,51.8,683,23.7,44.5,494,17.2,491,17.1,297,10.3,26,0.9
Queens,SWD,2018,5 year June,3245,2329,71.8,2300,70.9,98.8,415,12.8,17.8,1885,58.1,80.9,29,0.9,1.2,351,10.8,297,9.2,212,6.5,53,1.6
Queens,SWD,2017,5 year June,3103,2178,70.2,2148,69.2,98.6,499,16.1,22.9,1649,53.1,75.7,30,1.0,1.4,353,11.4,300,9.7,205,6.6,63,2.0
Queens,SWD,2016,5 year June,3051,2006,65.7,1847,60.5,92.1,263,8.6,13.1,1584,51.9,79.0,159,5.2,7.9,466,15.3,350,11.5,154,5.0,70,2.3
Queens,SWD,2015,5 year June,3085,1889,61.2,1124,36.4,59.5,88,2.9,4.7,1036,33.6,54.8,765,24.8,40.5,431,14.0,478,15.5,239,7.7,46,1.5
Queens,SWD,2014,5 year June,3032,1801,59.4,997,32.9,55.4,78,2.6,4.3,919,30.3,51.0,804,26.5,44.6,415,13.7,531,17.5,236,7.8,49,1.6
Queens,SWD,2013,5 year June,2838,1577,55.6,890,31.4,56.4,58,2.0,3.7,832,29.3,52.8,687,24.2,43.6,486,17.1,465,16.4,278,9.8,32,1.1
Queens,SWD,2012,5 year June,2878,1507,52.4,851,29.6,56.5,56,1.9,3.7,795,27.6,52.8,656,22.8,43.5,520,18.1,492,17.1,297,10.3,26,0.9
Queens,SWD,2017,6 year June,3074,2217,72.1,2180,70.9,98.3,499,16.2,22.5,1681,54.7,75.8,37,1.2,1.7,235,7.6,340,11.1,223,7.3,56,1.8
Queens,SWD,2016,6 year June,3024,2066,68.3,1900,62.8,92.0,263,8.7,12.7,1637,54.1,79.2,166,5.5,8.0,275,9.1,391,12.9,212,7.0,74,2.4
Queens,SWD,2015,6 year June,3055,1964,64.3,1192,39.0,60.7,88,2.9,4.5,1104,36.1,56.2,772,25.3,39.3,289,9.5,502,16.4,252,8.2,47,1.5
Queens,SWD,2014,6 year June,3005,1884,62.7,1032,34.3,54.8,78,2.6,4.1,954,31.7,50.6,852,28.4,45.2,285,9.5,524,17.4,259,8.6,53,1.8
Queens,SWD,2013,6 year June,2812,1661,59.1,901,32.0,54.2,59,2.1,3.6,842,29.9,50.7,760,27.0,45.8,296,10.5,529,18.8,291,10.3,35,1.2
