Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
BRONX,7,2023,Not SWD,8331,448,1919,23.0,2862,34.4,2439,29.3,1111,13.3,3550,42.6
BRONX,7,2023,SWD,2918,430,1578,54.1,924,31.7,342,11.7,74,2.5,416,14.3
BRONX,8,2023,Not SWD,6431,444,2710,42.1,1211,18.8,1835,28.5,675,10.5,2510,39.0
BRONX,8,2023,SWD,2228,427,1584,71.1,326,14.6,280,12.6,38,1.7,318,14.3
BRONX,All Grades,2023,Not SWD,47515,445,14477,30.5,14036,29.5,14223,29.9,4779,10.1,19002,40.0
BRONX,All Grades,2023,SWD,15745,429,9161,58.2,4132,26.2,2109,13.4,343,2.2,2452,15.6
BRONX,3,2022,Not SWD,8269,590,3183,38.5,2288,27.7,1990,24.1,808,9.8,2798,33.8
BRONX,3,2022,SWD,2605,578,1631,62.6,609,23.4,276,10.6,89,3.4,365,14.0
BRONX,4,2022,Not SWD,8619,588,3988,46.3,2413,28.0,1342,15.6,876,10.2,2218,25.7
BRONX,4,2022,SWD,2804,574,2044,72.9,509,18.2,178,6.3,73,2.6,251,9.0
BRONX,5,2022,Not SWD,8689,589,4609,53.0,2054,23.6,1191,13.7,835,9.6,2026,23.3
BRONX,5,2022,SWD,2798,576,2212,79.1,383,13.7,136,4.9,67,2.4,203,7.3
BRONX,6,2022,Not SWD,8168,590,4191,51.3,2188,26.8,1107,13.6,682,8.3,1789,21.9
BRONX,6,2022,SWD,2837,577,2310,81.4,386,13.6,105,3.7,36,1.3,141,5.0
BRONX,7,2022,Not SWD,8568,594,3770,44.0,2701,31.5,1358,15.8,739,8.6,2097,24.5
BRONX,7,2022,SWD,2791,578,2188,78.4,475,17.0,106,3.8,22,0.8,128,4.6
BRONX,8,2022,Not SWD,6711,595,3330,49.6,1891,28.2,926,13.8,564,8.4,1490,22.2
BRONX,8,2022,SWD,2415,580,1978,81.9,327,13.5,80,3.3,30,1.2,110,4.6
BRONX,All Grades,2022,Not SWD,49024,591,23071,47.1,13535,27.6,7914,16.1,4504,9.2,12418,25.3
BRONX,All Grades,2022,SWD,16250,577,12363,76.1,2689,16.5,881,5.4,317,2.0,1198,7.4
BRONX,3,2019,Not SWD,10961,596,3013,27.5,3190,29.1,3162,28.8,1596,14.6,4758,43.4
BRONX,3,2019,SWD,3499,583,1934,55.3,969,27.7,449,12.8,147,4.2,596,17.0
BRONX,4,2019,Not SWD,11335,596,3140,27.7,3713,32.8,2583,22.8,1899,16.8,4482,39.5
BRONX,4,2019,SWD,3711,581,2225,60.0,992,26.7,374,10.1,120,3.2,494,13.3
BRONX,5,2019,Not SWD,10971,596,4138,37.7,2844,25.9,2220,20.2,1769,16.1,3989,36.4
BRONX,5,2019,SWD,3778,581,2705,71.6,628,16.6,306,8.1,139,3.7,445,11.8
BRONX,6,2019,Not SWD,10542,596,3860,36.6,2956,28.0,2338,22.2,1388,13.2,3726,35.3
BRONX,6,2019,SWD,3587,580,2630,73.3,690,19.2,207,5.8,60,1.7,267,7.4
BRONX,7,2019,Not SWD,10576,597,3873,36.6,3360,31.8,2021,19.1,1322,12.5,3343,31.6
