Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Queens,Multi-Racial,2018,5 year August,328,311,94.8,311,94.8,100.0,168,51.2,54.0,143,43.6,46.0,0,0.0,0.0,10,3.0,7,2.1,0,0.0,0,0.0
Queens,Multi-Racial,2017,5 year August,365,343,94.0,342,93.7,99.7,214,58.6,62.4,128,35.1,37.3,1,0.3,0.3,13,3.6,7,1.9,1,0.3,1,0.3
Queens,Multi-Racial,2016,5 year August,344,322,93.6,319,92.7,99.1,158,45.9,49.1,161,46.8,50.0,3,0.9,0.9,12,3.5,9,2.6,1,0.3,0,0.0
Queens,Multi-Racial,2015,5 year August,269,235,87.4,222,82.5,94.5,69,25.7,29.4,153,56.9,65.1,13,4.8,5.5,23,8.6,8,3.0,3,1.1,0,0.0
Queens,Multi-Racial,2014,5 year August,226,215,95.1,210,92.9,97.7,71,31.4,33.0,139,61.5,64.7,5,2.2,2.3,7,3.1,2,0.9,2,0.9,0,0.0
Queens,Multi-Racial,2013,5 year August,199,185,93.0,181,91.0,97.8,53,26.6,28.6,128,64.3,69.2,4,2.0,2.2,3,1.5,9,4.5,1,0.5,1,0.5
Queens,Multi-Racial,2012,5 year August,139,122,87.8,117,84.2,95.9,21,15.1,17.2,96,69.1,78.7,5,3.6,4.1,7,5.0,10,7.2,0,0.0,0,0.0
Queens,Multi-Racial,2018,5 year June,328,311,94.8,311,94.8,100.0,168,51.2,54.0,143,43.6,46.0,0,0.0,0.0,10,3.0,7,2.1,0,0.0,0,0.0
Queens,Multi-Racial,2017,5 year June,365,342,93.7,341,93.4,99.7,213,58.4,62.3,128,35.1,37.4,1,0.3,0.3,14,3.8,7,1.9,1,0.3,1,0.3
Queens,Multi-Racial,2016,5 year June,344,322,93.6,319,92.7,99.1,158,45.9,49.1,161,46.8,50.0,3,0.9,0.9,12,3.5,9,2.6,1,0.3,0,0.0
