Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
STATEN ISLAND,3,2019,Econ Disadv,2656,597,713,26.8,731,27.5,754,28.4,458,17.2,1212,45.6
STATEN ISLAND,3,2019,Not Econ Disadv,1778,608,164,9.2,369,20.8,595,33.5,650,36.6,1245,70.0
STATEN ISLAND,4,2019,Econ Disadv,2648,597,723,27.3,778,29.4,616,23.3,531,20.1,1147,43.3
STATEN ISLAND,4,2019,Not Econ Disadv,1788,610,141,7.9,365,20.4,497,27.8,785,43.9,1282,71.7
STATEN ISLAND,5,2019,Econ Disadv,2645,598,948,35.8,651,24.6,547,20.7,499,18.9,1046,39.5
STATEN ISLAND,5,2019,Not Econ Disadv,1846,608,295,16.0,370,20.0,482,26.1,699,37.9,1181,64.0
STATEN ISLAND,6,2019,Econ Disadv,2517,596,972,38.6,613,24.4,504,20.0,428,17.0,932,37.0
STATEN ISLAND,6,2019,Not Econ Disadv,1735,609,266,15.3,335,19.3,480,27.7,654,37.7,1134,65.4
STATEN ISLAND,7,2019,Econ Disadv,2460,597,891,36.2,691,28.1,490,19.9,388,15.8,878,35.7
STATEN ISLAND,7,2019,Not Econ Disadv,1755,609,282,16.1,414,23.6,489,27.9,570,32.5,1059,60.3
STATEN ISLAND,8,2019,Econ Disadv,1875,599,721,38.5,522,27.8,359,19.1,273,14.6,632,33.7
STATEN ISLAND,8,2019,Not Econ Disadv,1388,611,264,19.0,335,24.1,395,28.5,394,28.4,789,56.8
STATEN ISLAND,All Grades,2019,Econ Disadv,14801,597,4968,33.6,3986,26.9,3270,22.1,2577,17.4,5847,39.5
STATEN ISLAND,All Grades,2019,Not Econ Disadv,10290,609,1412,13.7,2188,21.3,2938,28.6,3752,36.5,6690,65.0
STATEN ISLAND,3,2018,Econ Disadv,2678,597,778,29.1,680,25.4,767,28.6,453,16.9,1220,45.6
STATEN ISLAND,3,2018,Not Econ Disadv,1771,609,173,9.8,320,18.1,639,36.1,639,36.1,1278,72.2
STATEN ISLAND,4,2018,Econ Disadv,2741,596,874,31.9,806,29.4,575,21.0,486,17.7,1061,38.7
STATEN ISLAND,4,2018,Not Econ Disadv,1805,609,202,11.2,405,22.4,473,26.2,725,40.2,1198,66.4
STATEN ISLAND,5,2018,Econ Disadv,2673,595,1111,41.6,691,25.9,510,19.1,361,13.5,871,32.6
STATEN ISLAND,5,2018,Not Econ Disadv,1868,608,296,15.8,414,22.2,523,28.0,635,34.0,1158,62.0
STATEN ISLAND,6,2018,Econ Disadv,2515,596,938,37.3,686,27.3,530,21.1,361,14.4,891,35.4
STATEN ISLAND,6,2018,Not Econ Disadv,1684,608,242,14.4,410,24.3,512,30.4,520,30.9,1032,61.3
STATEN ISLAND,7,2018,Econ Disadv,2366,596,957,40.4,651,27.5,455,19.2,303,12.8,758,32.0
